Masse,name,loc
222337343,Ukraine,"[49.0, 32.0]"
3085,United Arab Emirates,"[24.0, 54.0]"
148217675,United Kingdom,"[54.0, -2.0]"
299700725,United States,"[38.0, -97.0]"
14758469,Uruguay,"[-33.0, -56.0]"
19000,Uzbekistan,"[41.0, 64.0]"
13217,Venezuela,"[8.0, -66.0]"
121821,Vietnam,"[16.16666666, 107.83333333]"
19403,Zambia,"[-15.0, 30.0]"
1775767,Zimbabwe,"[-20.0, 30.0]"
